tipo,x,y,t
odom,5.27032470703125,19.885530471801758,
odom,5.25577974319458,19.889789581298828,
odom,5.2383928298950195,19.895278930664062,
odom,5.223508358001709,19.899917602539062,
odom,5.208922386169434,19.904537200927734,
odom,5.192450046539307,19.909934997558594,
odom,5.17481803894043,19.915645599365234,
odom,5.1562371253967285,19.92125129699707,
odom,5.1397294998168945,19.92612075805664,
odom,5.123589038848877,19.930879592895508,
odom,5.1067795753479,19.936004638671875,
odom,5.092103958129883,19.9406681060791,
odom,5.076529502868652,19.94497299194336,
odom,5.061763286590576,19.94955062866211,
odom,5.043458938598633,19.955018997192383,
odom,5.02587366104126,19.960296630859375,
odom,5.006994724273682,19.96575164794922,
odom,4.992165565490723,19.969913482666016,
odom,4.97234582901001,19.97532844543457,
odom,4.955337047576904,19.980215072631836,
odom,4.940705299377441,19.984411239624023,
odom,4.926163673400879,19.988431930541992,
odom,4.911152362823486,19.99268341064453,
odom,4.896239757537842,19.996816635131836,
odom,4.881673336029053,20.000829696655273,
odom,4.864974021911621,20.00562286376953,
odom,4.850361347198486,20.00993537902832,
odom,4.834926605224609,20.01448631286621,
odom,4.819565296173096,20.0189266204834,
odom,4.801265239715576,20.024059295654297,
odom,4.785353183746338,20.028459548950195,
odom,4.7704243659973145,20.032630920410156,
odom,4.752092361450195,20.037752151489258,
odom,4.737337112426758,20.04180335998535,
odom,4.722335338592529,20.0461368560791,
odom,4.706271648406982,20.050329208374023,
odom,4.688650608062744,20.054990768432617,
odom,4.671475887298584,20.059152603149414,
odom,4.655416011810303,20.063257217407227,
odom,4.6378631591796875,20.068004608154297,
odom,4.6154465675354,20.073869705200195,
odom,4.598320007324219,20.078340530395508,
odom,4.57912540435791,20.083003997802734,
odom,4.563456058502197,20.086711883544922,
odom,4.542975902557373,20.091306686401367,
odom,4.527204513549805,20.094566345214844,
odom,4.508251190185547,20.098045349121094,
odom,4.493237018585205,20.10050392150879,
odom,4.477442741394043,20.10306167602539,
odom,4.455085754394531,20.10647201538086,
odom,4.43970251083374,20.108726501464844,
odom,4.423748016357422,20.11159896850586,
odom,4.401674270629883,20.115467071533203,
odom,4.381734848022461,20.119287490844727,
odom,4.366039752960205,20.12254524230957,
odom,4.350346088409424,20.12574005126953,
odom,4.335650444030762,20.128820419311523,
odom,4.3178558349609375,20.132644653320312,
odom,4.303179740905762,20.13585090637207,
odom,4.285904884338379,20.139854431152344,
odom,4.2698893547058105,20.143905639648438,
odom,4.254831314086914,20.148029327392578,
odom,4.236685276031494,20.152830123901367,
odom,4.216636657714844,20.158092498779297,
odom,4.198774814605713,20.162389755249023,
odom,4.182436943054199,20.166507720947266,
odom,4.166776657104492,20.17003059387207,
odom,4.148796081542969,20.174758911132812,
odom,4.13008451461792,20.179868698120117,
odom,4.110992431640625,20.185081481933594,
odom,4.09555196762085,20.18966293334961,
odom,4.071946620941162,20.197431564331055,
odom,4.057192802429199,20.20246124267578,
odom,4.041319847106934,20.207958221435547,
odom,4.023029804229736,20.214492797851562,
odom,4.008676528930664,20.220163345336914,
odom,3.994777202606201,20.226665496826172,
odom,3.980729579925537,20.233654022216797,
odom,3.965400457382202,20.241954803466797,
odom,3.949719190597534,20.250953674316406,
odom,3.9361038208007812,20.25981330871582,
odom,3.9229238033294678,20.2689266204834,
odom,3.910217523574829,20.27862548828125,
odom,3.8971126079559326,20.289329528808594,
odom,3.8848910331726074,20.30022621154785,
odom,3.8737523555755615,20.310829162597656,
odom,3.8612117767333984,20.32313346862793,
odom,3.850095272064209,20.335086822509766,
odom,3.8386499881744385,20.348173141479492,
odom,3.828408718109131,20.361303329467773,
odom,3.820063352584839,20.373987197875977,
odom,3.811427354812622,20.388450622558594,
odom,3.802849292755127,20.403440475463867,
odom,3.795015335083008,20.417078018188477,
odom,3.7865426540374756,20.432710647583008,
odom,3.779217481613159,20.447174072265625,
odom,3.7724735736846924,20.46446990966797,
odom,3.766237258911133,20.480600357055664,
odom,3.760549783706665,20.495641708374023,
odom,3.7553253173828125,20.51067543029785,
odom,3.749565601348877,20.526731491088867,
odom,3.7435202598571777,20.54206085205078,
odom,3.737588405609131,20.556699752807617,
odom,3.730560779571533,20.573650360107422,
odom,3.7244226932525635,20.587547302246094,
odom,3.717449903488159,20.6041316986084,
odom,3.7105183601379395,20.619836807250977,
odom,3.701634168624878,20.632081985473633,
interseccion,5.27032470703125,19.885530471801758,1783685212.7108188
interseccion,4.527204513549805,20.094566345214844,1783685264.8850818
interseccion,4.236685276031494,20.152830123901367,1783685272.9007826
interseccion,3.965400457382202,20.241954803466797,1783685281.034206
interseccion,3.7724735736846924,20.46446990966797,1783685292.4155166
